Order ID,Order Date,Customer ID,Age,Gender,City,Region,Product ID,Product Category,Product Name,Unit Price,Quantity,Discount,Revenue,Cost Price,Profit
ORD1,10/16/24,CUST2044,56,Female,Delhi,North,PROD221,Electronics,Mobile,18852.1,5,0.06,88604.87,14985.96,13675.05
ORD2,4/25/23,CUST1871,41,Female,Pune,West,PROD230,Clothing,T-Shirt,7968.53,3,0.14,20558.81,5445.91,4221.08
ORD3,1/26/23,CUST1385,38,Female,Hyderabad,South,PROD260,Clothing,Jacket,1225.11,2,0.22,1911.17,1022.52,-133.88
ORD4,10/9/23,CUST2082,59,Female,Delhi,North,PROD575,Clothing,Shoes,15351.26,5,0.13,66777.98,10328.44,15135.78
ORD5,9/8/23,CUST2528,20,Female,Chennai,South,PROD584,Electronics,Tablet,48693.02,3,0.11,130010.36,41184.93,6455.57
ORD6,8/17/23,CUST1600,31,Female,Pune,West,PROD341,Electronics,Tablet,30455.73,5,0.14,130959.64,18374.44,39087.46
ORD7,5/23/23,CUST2390,24,Male,Hyderabad,South,PROD527,Electronics,Tablet,19393.74,2,0.03,37623.86,14953.7,7716.45
ORD8,4/15/23,CUST2895,21,Male,Mumbai,West,PROD101,Home Appliances,Iron,24859.81,3,0.27,54442.98,16524.19,4870.41
ORD9,11/23/24,CUST1401,43,Male,Delhi,North,PROD655,Electronics,Headphones,21372.76,2,0.17,35478.78,12990.97,9496.84
ORD10,7/12/24,CUST1455,31,Male,Pune,West,PROD826,Grocery,Snacks Pack,46987.05,4,0.18,154117.52,39021.27,-1967.55
ORD11,3/31/23,CUST2076,41,Female,Chennai,South,PROD316,Home Appliances,Fan,26137.55,5,0.12,115005.22,17455.63,27727.07
ORD12,8/27/24,CUST2836,18,Male,Hyderabad,South,PROD956,Home Appliances,Microwave,14190.54,4,0.08,52221.19,9565.39,13959.61
ORD13,3/8/24,CUST2162,34,Female,Chennai,South,PROD491,Electronics,Headphones,49346.97,1,0.06,46386.15,29676.31,16709.84
ORD14,2/2/23,CUST2017,58,Male,Kolkata,East,PROD127,Grocery,Rice Bag,36504.56,1,0.18,29933.74,30356.29,-422.55
ORD15,1/31/23,CUST1406,41,Female,Bangalore,South,PROD904,Home Appliances,Mixer,43182.55,4,0.1,155457.18,26595.68,49074.45
ORD16,4/6/23,CUST2966,31,Male,Mumbai,West,PROD742,Grocery,Cooking Oil,36534.39,3,0.17,90970.63,25418.13,14716.23
ORD17,8/12/23,CUST1794,26,Female,Mumbai,West,PROD306,Home Appliances,Mixer,38087.1,2,0.07,70842.01,25290.48,20261.04
ORD18,8/27/23,CUST1863,56,Female,Chennai,South,PROD340,Grocery,Rice Bag,21491.54,2,0.13,37395.28,13978.74,9437.8
ORD19,6/1/24,CUST1748,32,Female,Delhi,North,PROD270,Electronics,Tablet,15854.93,4,0.27,46296.4,10501.09,4292.05
ORD20,9/8/24,CUST2109,45,Male,Bangalore,South,PROD677,Home Appliances,Microwave,10312.45,5,0.02,50531,6934.48,15858.6
ORD21,1/28/23,CUST2643,61,Male,Jaipur,North,PROD439,Home Appliances,Mixer,31292.83,1,0.03,30354.05,22347.26,8006.78
ORD22,7/28/24,CUST2496,56,Female,Bangalore,South,PROD289,Electronics,Tablet,44649.44,3,0.1,120553.49,28152.45,36096.13
ORD23,7/23/23,CUST1972,58,Female,Jaipur,North,PROD358,Home Appliances,Mixer,5680.59,1,0.19,4601.28,3409.09,1192.18
ORD24,10/27/24,CUST2842,59,Female,Jaipur,North,PROD783,Grocery,Snacks Pack,546.22,3,0.13,1425.63,358.06,351.45
